75089
#term	doc freq	idx
0	3410	0
0.1	653	1
0.13	15	2
0.1g	906	3
0.2	581	4
0.25	4	5
0.2g	803	6
0.3	532	7
0.3g	748	8
0.4	496	9
0.4g	697	10
0.5	500	11
0.5g	671	12
0.5lb	2	13
0.6	535	14
0.60	1	15
0.6g	687	16
0.7	428	17
0.75	4	18
0.79	2	19
0.7g	624	20
0.8	440	21
0.8g	667	22
0.9	457	23
0.9g	675	24
00	18	25
007baker	1	26
007librarian	1	27
008cats	1	28
00am	1	29
00pm	7	30
00pontiac	1	31
01	1958	32
01519	3	33
01cookie	1	34
02	1976	35
03	2046	36
04	1953	37
05	2003	38
05,2013	1	39
0508	1	40
0525	1	41
06	2093	42
07	2042	43
072705r	18	44
07jsande	1	45
08	2047	46
09	2169	47
0g	1080	48
0mg	1672	49
0p	1	50
0z	5	51
1	10809	52
1,000	27	53
1,000,000	1	54
1,001	3	55
1,003	1	56
1,010	1	57
1,013	2	58
1,014	1	59
1,015	1	60
1,017	2	61
1,019	1	62
1,020	4	63
1,032	1	64
1,034	1	65
1,035	3	66
1,037	1	67
1,038	3	68
1,039	3	69
1,041	2	70
1,049	1	71
1,051	1	72
1,052	1	73
1,054	1	74
1,055	2	75
1,063	1	76
1,068	1	77
1,082	2	78
1,084	1	79
1,087	1	80
1,089	2	81
1,092	2	82
1,098	1	83
1,102	3	84
1,105	2	85
1,109	1	86
1,110	1	87
1,113	2	88
1,115	2	89
1,119	1	90
1,122	1	91
1,132	3	92
1,133	2	93
1,134	3	94
1,135	1	95
1,136	1	96
1,137	3	97
1,138	1	98
1,139	4	99
1,140	1	100
1,141	2	101
1,147	2	102
1,151	1	103
1,153	1	104
1,154	1	105
1,161	2	106
1,169	3	107
1,171	1	108
1,174	3	109
1,176	2	110
1,177	1	111
1,184	2	112
1,186	1	113
1,190	1	114
1,191	2	115
1,192	1	116
1,195	3	117
1,196	2	118
1,197	3	119
1,199	2	120
1,221	1	121
1,223	3	122
1,228	2	123
1,244	2	124
1,247	1	125
1,249	1	126
1,250	3	127
1,251	1	128
1,252	1	129
1,288	1	130
1,291	2	131
1,299	1	132
1,308	1	133
1,310	2	134
1,313	2	135
1,314	1	136
1,318	1	137
1,319	2	138
1,325	1	139
1,326	1	140
1,327	2	141
1,331	1	142
1,333	2	143
1,343	1	144
1,356	1	145
1,359	1	146
1,360	1	147
1,362	2	148
1,373	1	149
1,374	1	150
1,377	2	151
1,385	1	152
1,396	2	153
1,400	1	154
1,413	1	155
1,424	1	156
1,425	1	157
1,429	1	158
1,432	1	159
1,435	2	160
1,439	1	161
1,440	2	162
1,442	3	163
1,445	2	164
1,457	1	165
1,477	1	166
1,481	2	167
1,484	4	168
1,492	1	169
1,493	2	170
1,502	1	171
1,503	1	172
1,506	3	173
1,508	2	174
1,509	3	175
1,512	4	176
1,517	2	177
1,519	1	178
1,521	3	179
1,522	1	180
1,523	1	181
1,524	1	182
1,532	3	183
1,533	1	184
1,534	2	185
1,535	1	186
1,544	1	187
1,545	1	188
1,547	1	189
1,564	3	190
1,576	2	191
1,597	2	192
1,598	9	193
1,630	1	194
1,664	5	195
1,669	1	196
1,676	4	197
1,677	1	198
1,679	1	199
1,681	1	200
1,693	1	201
1,730	1	202
1,745	1	203
1,747	2	204
1,749	2	205
1,755	3	206
1,766	1	207
1,767	1	208
1,769	1	209
1,788	1	210
1,789	1	211
1,790	2	212
1,792	3	213
1,794	1	214
1,796	2	215
1,798	3	216
1,802	1	217
1,804	1	218
1,805	2	219
1,806	1	220
1,810	3	221
1,822	4	222
1,823	2	223
1,824	1	224
1,837	3	225
1,839	2	226
1,852	1	227
1,862	1	228
1,863	1	229
1,864	3	230
1,866	1	231
1,867	1	232
1,872	4	233
1,873	2	234
1,882	3	235
1,887	1	236
1,888	1	237
1,922	1	238
1,934	3	239
1,935	1	240
1,939	1	241
1,940	3	242
1,944	2	243
1,945	1	244
1,946	3	245
1,952	2	246
1,958	1	247
1,969	1	248
1,972	1	249
1.00	4	250
1.005	1	251
1.1	406	252
1.12	2	253
1.1g	582	254
1.2	377	255
1.20sec	2	256
1.25	69	257
1.27	3	258
1.29	1	259
1.2g	567	260
1.3	351	261
1.30	1	262
1.39	1	263
1.3g	530	264
1.4	411	265
1.40	2	266
1.41	2	267
1.45	1	268
1.4g	600	269
1.5	717	270
1.50	7	271
1.52	1	272
1.55	1	273
1.59	1	274
1.5c	6	275
1.5g	542	276
1.5h	1	277
1.5hrs	3	278
1.5ing	1	279
1.5l	1	280
1.5lb	4	281
1.5lbs	3	282
1.5oz	1	283
1.5qt	1	284
1.5t	4	285
1.5tsp	2	286
1.5x	3	287
1.5z	1	288
1.6	327	289
1.69	2	290
1.6g	493	291
1.7	303	292
1.75	23	293
1.75oz	1	294
1.79	1	295
1.7g	497	296
1.8	366	297
1.8g	546	298
1.9	314	299
1.99	2	300
1.9g	498	301
10	8801	302
10,000	4	303
10,151	2	304
10,156	3	305
10,157	1	306
10,165	1	307
10,167	3	308
10,168	1	309
10,173	3	310
10,451	2	311
10,458	1	312
10,460	1	313
10,463	2	314
10,468	1	315
10,473	1	316
10,475	4	317
10,500	3	318
10,6	1	319
10.00	2	320
10.1	94	321
10.1g	153	322
10.2	80	323
10.22.12	1	324
10.25	3	325
10.2g	135	326
10.3	97	327
10.3g	168	328
10.4	86	329
10.4g	137	330
10.5	207	331
10.5g	176	332
10.6	70	333
10.6g	150	334
10.7	79	335
10.75	260	336
10.7g	139	337
10.8	85	338
10.8g	131	339
10.9	85	340
10.9g	148	341
100	620	342
100.00	1	343
100.2	1	344
100.2g	1	345
100.4	1	346
100.4g	1	347
100.5	1	348
100.5g	1	349
100.6	1	350
100.6g	1	351
100.7	1	352
100.7g	1	353
100.8	2	354
100.8g	2	355
1000	54	356
10000x's	1	357
1000facez	3	358
1000mg	4	359
1001	4	360
1001mg	6	361
1002	4	362
1002mg	4	363
1003	4	364
1003mg	4	365
1004	1	366
1005	3	367
1005mg	3	368
1006	1	369
1006mg	4	370
1007	2	371
1007mg	2	372
1008	5	373
1008mg	3	374
1009	3	375
1009mg	3	376
100_2333	1	377
100f	1	378
100g	4	379
100lbs	1	380
100mg	62	381
100s	1	382
100x	1	383
101	298	384
101.1	3	385
101.1g	3	386
101.5	4	387
101.5g	4	388
101.6g	2	389
101.7	2	390
101.7g	2	391
101.9	2	392
101.9g	2	393
1010	2	394
1010mg	5	395
1010rikku	1	396
1011	2	397
1011mg	3	398
1012	4	399
1012mg	3	400
1013	4	401
1013mg	2	402
1014	3	403
1014mg	6	404
1015	6	405
1015mg	8	406
1016	2	407
1016mg	3	408
1017	4	409
1017mg	4	410
1018	2	411
1018mg	5	412
1019	2	413
1019mg	3	414
101g	1	415
101mg	80	416
102	240	417
102.7g	1	418
102.9	1	419
102.9g	1	420
1020	2	421
1020mg	5	422
1021	2	423
1021mg	6	424
1022	4	425
1022mg	5	426
1023	4	427
1024	4	428
1024mg	3	429
1025	3	430
1025mg	3	431
1026	2	432
1026mg	4	433
1027	3	434
1027mg	6	435
1028	1	436
1028mg	4	437
1029	2	438
1029mg	2	439
102g	2	440
102mg	77	441
103	196	442
103.3	4	443
103.3g	4	444
103.4	1	445
103.4g	1	446
103.5	2	447
103.5g	2	448
103.6	5	449
103.6g	5	450
103.7	3	451
103.7g	3	452
103.8	3	453
103.8g	3	454
103.9	2	455
103.9g	2	456
1030	10	457
1030mg	11	458
1031	4	459
1031mg	5	460
1032	6	461
1032mg	7	462
1033	6	463
1033mg	4	464
1034	7	465
1034mg	5	466
1035	5	467
1035mg	4	468
1036	4	469
1036mg	5	470
1037	5	471
1037mg	4	472
1038	6	473
1038mg	9	474
1039	1	475
1039mg	3	476
103mg	63	477
104	232	478
104.1	1	479
104.1g	1	480
104.2	3	481
104.2g	3	482
104.5	1	483
104.5g	1	484
104.7	2	485
104.7g	2	486
104.8	2	487
104.8g	2	488
1040	8	489
1040mg	8	490
1041	1	491
1041mg	3	492
1042	5	493
1042mg	3	494
1043	6	495
1043mg	6	496
1044	2	497
1044mg	1	498
1045	8	499
1045mg	7	500
1046	7	501
1046mg	7	502
1047	2	503
1047mg	1	504
1048	4	505
1048mg	4	506
1049	1	507
1049mg	2	508
104mg	75	509
105	223	510
105.2g	1	511
105.6	1	512
105.6g	1	513
1051	5	514
1051mg	8	515
1052	1	516
1052mg	3	517
