114308
#term	doc freq	idx
0	3347	0
0.0	1	1
0.00	7	2
0.00003	1	3
0.0024	1	4
0.00255	1	5
0.014secs	2	6
0.02	1	7
0.024	6	8
0.03	4	9
0.03p	1	10
0.05	1	11
0.058secs	2	12
0.05p	2	13
0.086s	6	14
0.1	9	15
0.14p	1	16
0.15	1	17
0.15p	1	18
0.17	1	19
0.17p	1	20
0.19p	1	21
0.1p	2	22
0.1pence	1	23
0.2	8	24
0.23p	1	25
0.25	2	26
0.25p	3	27
0.2g	1	28
0.2mm	1	29
0.3	6	30
0.309s	6	31
0.325p	1	32
0.365	1	33
0.37	1	34
0.375	2	35
0.37p	1	36
0.38	1	37
0.4	4	38
0.4â	1	39
0.5	9	40
0.50	7	41
0.50p	1	42
0.524s	6	43
0.538s	6	44
0.55p	1	45
0.574s	6	46
0.5p	13	47
0.5s	4	48
0.6	5	49
0.62	1	50
0.65	1	51
0.6mg	1	52
0.6p	2	53
0.7	3	54
0.75	4	55
0.75p	5	56
0.777s	6	57
0.784s	6	58
0.7secs	1	59
0.8	3	60
0.80	7	61
0.8s	4	62
0.9	3	63
0.961s	6	64
00	262	65
00.00	4	66
00.01	2	67
00.02	1	68
00.03	5	69
00.04	2	70
00.05	5	71
00.06	6	72
00.07	3	73
00.08	3	74
00.09	5	75
00.10	4	76
00.11	3	77
00.12	3	78
00.13	3	79
00.14	2	80
00.15	2	81
00.16	4	82
00.17	1	83
00.18	3	84
00.19	4	85
00.20	2	86
00.21	2	87
00.22	3	88
00.23	3	89
00.24	3	90
00.25	4	91
00.26	2	92
00.27	3	93
00.28	5	94
00.29	4	95
00.30	6	96
00.31	3	97
00.32	4	98
00.33	4	99
00.34	2	100
00.36	1	101
00.37	4	102
00.38	5	103
00.39	4	104
00.40	6	105
00.41	5	106
00.42	4	107
00.43	6	108
00.44	5	109
00.45	7	110
00.46	4	111
00.47	6	112
00.48	5	113
00.49	2	114
00.50	4	115
00.51	2	116
00.52	1	117
00.53	3	118
00.55	2	119
00.56	3	120
00.57	5	121
00.58	3	122
00.59	3	123
00.979	1	124
000	9	125
0000	6	126
000000000000	1	127
0001	1	128
0001a	8	129
0002	3	130
0004	2	131
0008	1	132
000â	1	133
001	9	134
0012	1	135
0013	1	136
001742	2	137
0019	7	138
001jk051177	1	139
0022	2	140
0026	1	141
0031	1	142
0033	1	143
0034	1	144
00397	1	145
0039â	1	146
003ds884311	1	147
0044	1	148
00441273	1	149
0048	1	150
004â	1	151
005	8	152
006	9	153
006â	1	154
007	53	155
0071	2	156
0075	1	157
007â	3	158
008	6	159
00800	1	160
0082	1	161
0085	1	162
0088	1	163
008â	1	164
009	1	165
00am	1	166
01	4437	167
01.00	4	168
01.01	8	169
01.02	2	170
01.03	4	171
01.04	4	172
01.05	5	173
01.06	1	174
01.07	4	175
01.08	3	176
01.09	3	177
01.10	1	178
01.11	4	179
01.12	4	180
01.13	3	181
01.14	1	182
01.15	3	183
01.16	3	184
01.17	2	185
01.18	3	186
01.19	3	187
01.20	3	188
01.21	8	189
01.22	2	190
01.23	5	191
01.24	2	192
01.25	3	193
01.26	3	194
01.27	1	195
01.28	3	196
01.29	2	197
01.30	3	198
01.31	4	199
01.32	4	200
