6493
#term	doc freq	idx
0	73	0
0.5l	2	1
00	15	2
00pm	1	3
0_0	10	4
1	609	5
1.29	10	6
10	524	7
10,000	1	8
100	1428	9
100,000,000	11	10
1000	6	11
100mph	1	12
101	769	13
102	424	14
103	171	15
1034	1	16
1037	1	17
104	638	18
105	4	19
106	12	20
1066	1	21
1067	1	22
107	12	23
108	3	24
109	3	25
10lb	1	26
10th	19	27
11	263	28
110	7	29
111	5	30
112	8	31
113	9	32
114	10	33
115	22	34
1153	1	35
1154	1	36
116	16	37
117	11	38
118	33	39
119	27	40
1191	1	41
1195	1	42
1197	1	43
1198	1	44
12	208	45
12.35	4	46
120	24	47
121	8	48
1210	1	49
1214	1	50
1216	2	51
122	13	52
1222	1	53
123	9	54
124	45	55
125	28	56
125.01	19	57
126	12	58
127	28	59
128	71	60
129	56	61
13	205	62
130	60	63
131	33	64
1318	1	65
132	81	66
1322	1	67
133	186	68
134	265	69
135	148	70
1355	1	71
136	603	72
137	225	73
138	1178	74
1383	1	75
1385	1	76
139	2373	77
1395	1	78
13th	21	79
14	201	80
140	402	81
1407	3	82
1409	1	83
141	368	84
142	810	85
143	344	86
144	146	87
145	441	88
146	2	89
147	15	90
148	23	91
149	5	92
15	226	93
150	2	94
151	7	95
152	4	96
153	24	97
154	4	98
155	11	99
156	4	100
157	5	101
158	9	102
159	6	103
16	161	104
160	14	105
1601	1	106
161	2	107
162	4	108
163	9	109
164	11	110
165	5	111
166	7	112
1661	1	113
1668	1	114
167	2	115
168	2	116
1684	1	117
169	5	118
17	124	119
170	2	120
171	1	121
172	5	122
173	25	123
174	45	124
175	56	125
176	134	126
177	148	127
178	391	128
179	24	129
18	204	130
180	312	131
181	287	132
182	784	133
183	1054	134
184	377	135
185	184	136
186	49	137
187	20	138
188	52	139
1883	1	140
189	6	141
19	114	142
19.95	7	143
190	3	144
191	4	145
192	19	146
193	8	147
194	49	148
1945	10	149
195	1	150
1969	9	151
197	3	152
198	11	153
199	7	154
1forest1	11	155
1l	2	156
1million	25	157
1st	63	158
2	777	159
20	221	160
200	42	161
2007	25	162
201	4	163
2011	12	164
2012	50	165
202	2	166
204	10	167
205	3	168
206	22	169
207	22	170
208	1	171
209	2	172
21	99	173
210	1	174
213	3	175
2137jokes	1	176
214	1	177
2141jokes	8	178
2144jokes	1	179
2145jokes	10	180
215	5	181
2150jokes	10	182
2151jokes	19	183
2154jokes	6	184
2155jokes	22	185
2156jokes	14	186
2157jokes	30	187
2158jokes	14	188
2159jokes	3	189
216	3	190
2160jokes	26	191
2161jokes	24	192
2163jokes	23	193
2164jokes	114	194
2165jokes	11	195
2166jokes	31	196
2167jokes	32	197
2168jokes	45	198
2169jokes	54	199
217	4	200
2170jokes	4	201
2171jokes	30	202
2172jokes	41	203
2173jokes	30	204
2174jokes	42	205
2175jokes	70	206
2176jokes	47	207
2177jokes	110	208
2178jokes	19	209
2179jokes	1	210
2180jokes	22	211
2181jokes	10	212
2182jokes	2	213
2183jokes	27	214
2184jokes	2	215
2185jokes	77	216
2186jokes	124	217
2187jokes	40	218
2188jokes	23	219
2189jokes	73	220
219	4	221
2190jokes	54	222
2191jokes	208	223
2192jokes	33	224
2193jokes	107	225
2194jokes	1	226
2195jokes	18	227
2196jokes	17	228
2197jokes	69	229
2198jokes	17	230
2199jokes	66	231
21st	2	232
22	92	233
220	7	234
2200jokes	18	235
2201jokes	299	236
2202jokes	43	237
2203jokes	139	238
2204jokes	104	239
2205jokes	233	240
2206jokes	58	241
2207jokes	120	242
2208jokes	171	243
2209jokes	252	244
2210jokes	122	245
2211jokes	134	246
2212jokes	38	247
2213jokes	127	248
2214jokes	78	249
2218jokes	74	250
2219jokes	48	251
222	3	252
2220jokes	38	253
224	2	254
225	6	255
226	5	256
227	1	257
228	1	258
23	87	259
232	7	260
233	3	261
234	4	262
235	25	263
237	1	264
238	1	265
239	1	266
24	140	267
240	4	268
241	3	269
242	8	270
243	10	271
246	10	272
247	4	273
248	5	274
249	3	275
25	99	276
250	2	277
251	3	278
252	4	279
253	2	280
255	294	281
256	2548	282
257	677	283
258	305	284
259	88	285
25th	7	286
26	92	287
260	71	288
261	3	289
262	2	290
263	7	291
265	200	292
265.00	7	293
266	327	294
267	614	295
268	2222	296
269	627	297
27	80	298
270	1	299
271	1	300
272	1	301
273	1	302
275	7	303
276	2	304
278	1	305
279	2	306
28	392	307
280	3	308
281	1	309
283	3	310
284	6	311
285	1	312
287	8	313
288	1	314
289	2	315
29	904	316
290	2	317
291	3	318
293	3	319
294	3	320
295	13	321
296	4	322
297	1	323
298	1	324
299	2	325
2nd	38	326
2yrs	4	327
3	816	328
3,296	10	329
3.14	2	330
3.5	14	331
30	821	332
300	36	333
302	3	334
303	3	335
304	9	336
305	83	337
306	1	338
307	25	339
308	64	340
309	746	341
31	2154	342
310	633	343
311	206	344
312	531	345
313	311	346
314	1244	347
315	16	348
316	60	349
317	62	350
32	53	351
321	1	352
325	1	353
326	1	354
328	1	355
33	30	356
330	3	357
331	4	358
332	4	359
333	2	360
334	1	361
335	1	362
336	1	363
34	27	364
340	1	365
343	2	366
346	5	367
348	1	368
35	130	369
350	2	370
351	2	371
352	29	372
353	190	373
354	126	374
355	819	375
356	154	376
357	1198	377
358	610	378
359	204	379
36	43	380
360	23	381
361	4	382
363	659	383
364	1	384
365	3	385
366	2	386
369	2	387
36cs	4	388
37	62	389
370	1	390
371	3	391
373	2	392
375	1	393
376	1	394
377	3	395
378	2	396
379	3	397
38	48	398
380	1	399
381	1	400
384	1	401
386	2	402
39	41	403
393	1	404
394	1	405
395	2	406
3d	11	407
3rd	31	408
4	569	409
4,2	25	410
40	69	411
400	1	412
401	2	413
405	2	414
406	1	415
409	1	416
41	54	417
415	1	418
42	63	419
420	1	420
422	2	421
43	49	422
430	3	423
431	1	424
432	1	425
434	1	426
437	1	427
44	36	428
441	1	429
442	1	430
443	1	431
445	4	432
447	1	433
449	1	434
45	67	435
454	2	436
457	2	437
46	83	438
463	1	439
466	4	440
47	82	441
471	1	442
48	28	443
487	1	444
489	1	445
49	150	446
490	1	447
4g	12	448
5	666	449
5.46	4	450
50	1995	451
500	18	452
503	1	453
509	1	454
51	642	455
515	1	456
52	1428	457
521.5	2	458
525	2	459
528	2	460
53	301	461
534	1	462
535	2	463
536	2	464
539	2	465
54	637	466
543	2	467
544	1	468
545	1	469
55	303	470
550	1	471
56	102	472
565	2	473
569	1	474
57	1689	475
572	2	476
58	922	477
581	3	478
584	2	479
587	2	480
59	115	481
591	1	482
592	3	483
594	1	484
596	1	485
598	3	486
599	2	487
5th	12	488
6	565	489
6'2	4	490
6'5	4	491
6,7	4	492
60	50	493
601	2	494
604	1	495
606	1	496
