0	9650
01	5531
02	1156
03	1214
04	916
05	1008
06	1187
07	1056
08	970
09	907
0z	15
1	9516
1,066.10	54
1,076.00	10
1,179.95	26
1,185.85	10
1,299.95	12
1,459.75	52
1,459.95	42
1,473.31	10
1,761.10	12
1.2	11
1.25	22
1.5	194
1.8	13
10	7345
10.15	17
10.16	12
10.18	14
10.25	64
10.30	14
10.43	24
10.46	327
10.48	53
10.49	109
10.5	105
10.50	128
10.51	16
10.52	138
10.53	69
10.54	39
10.55	30
10.56	12
10.5x7	47
10.62	110
10.64	13
10.65	47
10.72	60
10.75	96
10.77	27
10.8	26
10.95	143
10.99	17
100	130
100.94	21
100.98	14
10001207	10
10001223	10
10001235	11
10001246	13
10001288	16
10001584	11
10001608	11
10001998	10
10002232	12
10002294	27
10002302	17
10002385	12
10002458	11
10002474	12
10002524	10
10002707	22
10002715	19
10002720	10
10002748	13
10002943	10
10002962	14
10002969	27
10003010	13
10003012	10
10003017	26
10003031	20
10003053	11
10003078	11
10003093	15
10003190	24
10003227	23
10003249	19
10003261	12
10003444	17
10003469	16
10003487	24
10003489	18
10003490	33
10003552	26
100g	17
100mg	36
101	64
101.32	17
101.36	11
101.49	12
101g	11
101mg	10
102	19
102.47	27
102.95	46
1023	216
102g	11
102mg	16
103	51
103mg	20
104	24
104.97	25
104.98	83
1048	103
104mg	19
105	23
105.01	49
105.02	133
105.13	14
105.17	16
105.38	47
105.42	91
105.55	46
105.59	82
105.68	13
105.81	13
105.85	27
1050	38
105mg	22
106	13
106.57	77
106.61	78
106mg	18
107	32
107.56	22
107.60	28
107.95	18
107mg	19
108	28
109	25
109.86	15
109.95	114
109mg	39
10g	385
10mg	55
10mins	25
10oz	34
10x15	13
10x18	10
11	2200
11.12	13
11.25	73
11.27	60
11.28	30
11.30	40
11.31	33
11.32	23
11.33	23
11.34	41
11.36	21
11.37	10
11.44	34
11.45	18
11.47	23
11.5	46
11.55	10
11.58	12
11.5x5.5x3	69
11.69	10
11.75	48
11.84	76
11.93	16
11.95	245
11.99	67
110	121
110.27	14
110.67	14
110.68	25
110mg	30
111.09	16
111.28	12
111.53	17
111mg	13
112	12
112.35	21
112mg	30
113	24
113.06	18
113.08	27
113.09	112
113.10	25
113.26	16
113.40	21
113.48	18
113.52	75
113.68	21
113.71	78
113.72	16
113.99	17
113mg	12
114	14
114.81	93
114.82	20
114g	15
114mg	15
115	54
115.52	15
115.85	13
115.87	152
115.96	11
115mg	37
116	70
116.15	10
116mg	10
117	12
117.28	13
117mg	17
118	32
118.95	21
118mg	14
119	10
119.95	57
119.99	45
11g	364
11mg	43
11x11	18
11x13	15
11x17	54
12	4282
12.00	23
12.08	202
12.10	23
12.11	254
12.12	106
12.13	23
12.14	95
12.15	14
12.16	136
12.17	24
12.18	134
12.19	23
12.21	32
12.25	51
12.25x9	10
12.26	67
12.29	128
12.37	48
12.41	49
12.44	15
12.49	10
12.5	87
12.56	20
12.5x9.5	103
12.6	24
12.60	10
12.69	28
12.74	10
12.75	11
12.76	14
12.88	26
12.89	50
12.90	39
12.92	42
12.93	84
12.95	425
12.96	173
12.97	130
12.99	100
120	62
120mg	22
121	66
121.13	48
121.14	1032
121.16	10
121.17	33
121.18	18
121.59	703
121.63	30
121.80	678
121.83	22
121.84	11
121mg	12
122	28
122.10	10
122.98	24
122mg	18
123	32
123.01	25
123.02	10
1230mg	11
12341	10
12363	12
123mg	13
124	10
124.12	14
124.15	10
124.95	36
124g	12
124mg	15
125	113
125.18	11
1252	74
1253	142
125g	11
125mg	16
126mg	16
127.08	10
127.64	11
12703	11
127mg	29
128	27
128mg	17
129	14
129.21	13
129.22	55
129.58	10
129.70	28
129.92	28
129.95	189
129.99	15
129mg	12
12g	287
12mg	42
12oz	25
12x16	10
12x7.5	46
12x8	14
12x9.5	10
13	4962
13.00	29
13.08	30
13.12	27
13.20	18
13.24	21
13.25	16
13.26	21
13.5	56
13.56	24
13.5x11	17
13.61	10
13.65	18
13.69	305
13.71	32
13.73	35
13.74	134
13.75	10
13.77	126
13.78	72
13.80	59
13.86	51
13.90	142
13.93	25
13.95	63
13.96	19
13.98	72
13.99	71
130	62
130mg	22
131	29
131.18	37
131mg	14
132	11
132.39	16
132mg	10
133	11
133.25	299
133.26	59
133.30	16
133.45	129
133.76	576
133.80	10
133.98	675
133mg	14
134	64
134.02	18
134.09	104
134.31	196
