168199
#term	doc freq	idx
0	14832	0
0,1,2,3,4	1	1
0.0	1	2
0.001	1	3
0.005	11	4
0.006	2	5
0.008	1	6
0.009mm	1	7
0.01	16	8
0.015	8	9
0.01x6.0x8.5	1	10
0.02	12	11
0.025	3	12
0.028	2	13
0.03	3	14
0.035	10	15
0.039	1	16
0.04	16	17
0.045	3	18
0.048	2	19
0.05	37	20
0.050	2	21
0.05ct	1	22
0.06	13	23
0.0625	4	24
0.064	1	25
0.06x16.0x10.0	2	26
0.06x17.0x10.5	2	27
0.06x18.75x11.75	1	28
0.06x20.5x12.75	1	29
0.07	3	30
0.075	2	31
0.07ct	1	32
0.08	6	33
0.09	1	34
0.0x0.0x0.0	13	35
0.0x0.0x31.0	1	36
0.0x1.0x1.0	1	37
0.0x10.0x12.0	2	38
0.0x12.0x15.0	1	39
0.0x12.0x27.0	2	40
0.0x15.0x22.0	3	41
0.0x19.0x14.0	1	42
0.0x22.0x15.0	2	43
0.0x24.0x37.0	1	44
0.0x31.0x22.0	2	45
0.0x4.0x14.0	1	46
0.0x40.0x40.0	1	47
0.0x5.0x11.0	1	48
0.0x6.0x11.0	2	49
0.1	31	50
0.10	3	51
0.100	1	52
0.11	3	53
0.12	17	54
0.125	17	55
0.13	8	56
0.136	1	57
0.13x9.38x13.44	3	58
0.14	4	59
0.15	11	60
0.157	7	61
0.16	10	62
0.165	1	63
0.17	5	64
0.18	13	65
0.1875	3	66
0.19	7	67
0.1x7.0x9.5	3	68
0.2	65	69
0.20	8	70
0.21	4	71
0.22	6	72
0.22x	1	73
0.23	6	74
0.2362	1	75
0.24	6	76
0.25	352	77
0.25x5.25x7.5	2	78
0.26	13	79
0.27	2	80
0.28	10	81
0.29	2	82
0.2x4.0x5.0	1	83
0.3	65	84
0.30	2	85
0.31	10	86
0.312	1	87
0.3125	2	88
0.314	11	89
0.315	4	90
0.32	5	91
0.33	17	92
0.34	3	93
0.35	44	94
0.353	1	95
0.354	2	96
0.36	6	97
0.368	1	98
0.37	9	99
0.375	22	100
0.38	9	101
0.39	8	102
0.394	3	103
0.3lux	2	104
0.3mm	6	105
0.3x1.6x1.4	1	106
0.4	126	107
0.40	13	108
0.406	5	109
0.41	8	110
0.42	6	111
0.43	8	112
0.437	2	113
0.4375	2	114
0.438	6	115
0.43in	1	116
0.43x8	1	117
0.44	4	118
0.45	37	119
0.46	12	120
0.47	5	121
0.48	10	122
0.49	2	123
0.5	940	124
0.50	21	125
0.51	66	126
0.52	3	127
0.53	9	128
0.54	5	129
0.55	51	130
0.56	6	131
0.57	4	132
0.58	1	133
0.59	6	134
0.5a	1	135
0.5g	1	136
0.5m	2	137
0.5mm	30	138
0.5x0.5x0.2	1	139
0.5x1	8	140
0.5x5.0x3.0	1	141
0.5x7.0x9.0	2	142
0.5x7.1x10.0	1	143
0.6	86	144
0.60	5	145
0.61	1	146
0.62	9	147
0.625	91	148
0.63	5	149
0.64	4	150
0.65	25	151
0.66	7	152
0.67	2	153
0.672916667	3	154
0.68	11	155
0.687	1	156
0.69	3	157
0.6lbs	1	158
0.6m	1	159
0.6mm	2	160
0.7	108	161
0.70	7	162
0.71	5	163
0.72	16	164
0.73mm	1	165
0.74	11	166
0.75	704	167
0.75in	2	168
0.75mm	4	169
0.75x20.7x9.0	1	170
0.75x3	1	171
0.75x5.25x5.5	1	172
0.76	18	173
0.77	3	174
0.78	2	175
0.78x5.78x5.75	1	176
0.79	5	177
0.79x	1	178
0.7mm	16	179
0.8	145	180
0.80	2	181
0.81	2	182
0.82	7	183
0.83	2	184
0.84	4	185
0.85	50	186
0.86	10	187
0.87	1	188
0.875	10	189
0.88	4	190
0.89	2	191
0.8mm	2	192
0.8x0.7x0.39	1	193
0.9	99	194
0.90	2	195
0.900	1	196
0.91	2	197
0.92	10	198
0.925	2	199
0.93	2	200
0.94	15	201
0.95	58	202
0.96	12	203
0.97	2	204
0.98	6	205
0.992	1	206
0.999	2	207
0.9in	2	208
0.9w	3	209
0.9x5.6x8.4	1	210
00	111	211
000	49	212
0000	3	213
00000	1	214
0000078	1	215
00001	3	216
00002	3	217
000022	1	218
000045	1	219
000058	1	220
000061	1	221
0001	14	222
00010	1	223
00011	2	224
000111	2	225
00015	1	226
00016	2	227
00017	1	228
0002	10	229
00020	2	230
00021	2	231
00022	1	232
00026	2	233
00027r	1	234
00029	1	235
0003	7	236
00031	2	237
000329	1	238
00036	2	239
0003_s	1	240
0004078	1	241
0004079	1	242
00041	2	243
00042	1	244
00046	3	245
0004st	2	246
000578	1	247
000583	1	248
00059	3	249
000594	1	250
0006	1	251
0006s	1	252
000799452028	1	253
0009s	1	254
001	96	255
0010075	1	256
0010079	1	257
001016001060	1	258
00102	1	259
001024001060	1	260
001055	1	261
0010new	1	262
00112	1	263
00118750	1	264
0012	2	265
0014	1	266
001619	1	267
0017060115	1	268
0017062001	1	269
0017062100	1	270
0017062200	1	271
0017062650	1	272
00170756851	1	273
00172j	1	274
001f	2	275
001g	1	276
002	23	277
0020048	3	278
002016001060	1	279
002020001060	1	280
00203	1	281
0020345q	1	282
00205	3	283
00206	1	284
00211000	1	285
00217	1	286
0022	1	287
00226j	1	288
00227j	2	289
0023257999	1	290
0023259999	1	291
0023267999	1	292
0023268999	1	293
002335miu	2	294
00276	1	295
00280	1	296
002896	1	297
003	29	298
0030	2	299
00301	1	300
003020001060	1	301
003024001060	1	302
0031	2	303
0032	1	304
0032s	1	305
0037	3	306
003b	1	307
004	21	308
004016001060	1	309
004020001060	1	310
00404	1	311
00410	3	312
004292	2	313
0046	1	314
00465	1	315
00478j	1	316
00498	1	317
00499	2	318
0049jp	1	319
004o0	1	320
005	26	321
0050033kr	3	322
00504	1	323
0050st	1	324
0051401kr	1	325
0053	1	326
00540117	2	327
00540152	2	328
005406	2	329
0054064	1	330
00550	1	331
0056jp	1	332
0057	1	333
0059	1	334
00595j	1	335
006	6	336
0060	1	337
00601j	1	338
00602	2	339
00622j	1	340
0065	2	341
00659	2	342
0066st	1	343
00682	1	344
00689	1	345
006r01275	1	346
006r01278	1	347
007	6	348
00702	2	349
00711	2	350
00762	1	351
0077	1	352
0078	1	353
0078_s	1	354
007enigma	1	355
007k	1	356
007mole	1	357
008	19	358
00805	1	359
00809	1	360
0080jp	1	361
00819	1	362
0082	6	363
0083jp	1	364
0084	2	365
0085	1	366
008508	1	367
008888177203	1	368
0088s	1	369
0089	25	370
0089s	1	371
008g	2	372
009	6	373
009190	1	374
0092	3	375
00934	2	376
00936	2	377
00942	2	378
0095201mn	1	379
0096s	2	380
0097	2	381
00976	1	382
0099	2	383
00997	1	384
009k	1	385
00fb5	9	386
00fkn	1	387
00myra	1	388
00p1690	5	389
00s	1	390
01	989	391
010	27	392
0100	1	393
01002	1	394
0100s	1	395
0101	2	396
01014258	1	397
0102	1	398
0104	2	399
010401	1	400
010410vl	4	401
0105	2	402
01050	1	403
0106b002	1	404
0106b002aa	1	405
01074	1	406
0109_s	1	407
010pprapl06	1	408
011	5	409
011101	1	410
011111357129	1	411
01112	1	412
01114	1	413
0113ssm	1	414
01144	1	415
01157	1	416
012	9	417
01205	2	418
01223	2	419
012569793361	1	420
012569795396	1	421
012569797284	2	422
012569830127	1	423
012569832688	2	424
0125s	1	425
012857	1	426
013	1	427
0131384651	1	428
01320	3	429
013491307121	1	430
013491313122	1	431
013491371221	2	432
013501	1	433
0135045207	1	434
0135052610	2	435
0136117007	2	436
0136118399	2	437
01367	1	438
01370	1	439
013r00623	1	440
014	3	441
01404	1	442
01425	1	443
014381288728	1	444
014381845129	1	445
014431094224	1	446
01450	1	447
